trade_date,open0,high0,low0,close0,vol0,open1,high1,close1,low1,vol1,open2,high2,close2,low2,vol
20181025,73.1974,74.6719,72.1442,74.5666,96544.87,2540.93,2606.1,2603.8,2531.53,1620329.75,7334.52,7543.11,7529.41,7305.77,191703392
20181026,75.3038,76.8836,74.2506,75.0932,85113.46,2610.9,2626.12,2598.85,2580.85,1589361.25,7582.77,7621.38,7504.72,7476.13,184356992
20181029,74.8825,75.5144,73.6187,75.4091,74688.46,2593.59,2595.54,2542.1,2529.19,1342419.25,7449.64,7450.38,7322.24,7290.82,155114080
20181030,75.4091,77.0942,73.8293,76.1464,127988.93,2538.57,2586.92,2568.05,2521.78,1666823.12,7271.96,7451.66,7375.23,7189.35,188857664
20181031,76.357,77.4102,75.7251,76.7783,112516.11,2573.01,2612.92,2602.78,2567.03,1805503.5,7385.98,7526.6,7482.83,7373.75,194478320
20181101,76.8836,79.6219,76.8836,77.3049,143807.62,2617.03,2636.8,2606.24,2603.65,2009039.38,7568.2,7689.57,7567.79,7558.4,235785440
20181102,78.3581,79.5166,77.6208,79.0953,132150.31,2649.25,2676.48,2676.48,2628.87,2250269.25,7763.49,7867.54,7867.54,7709.44,268299632
20181105,79.306,81.5177,78.8847,81.307,157482.75,2665.43,2673.19,2665.43,2639.27,1937601,7831.82,7895.54,7839.08,7733.14,259786880
20181106,80.7804,81.2017,79.5166,81.0964,85807.17,2660.72,2660.86,2659.36,2635.32,1636694.75,7807.09,7807.09,7791.25,7701.51,210422864
20181107,81.0964,82.4656,80.1485,80.8858,136553.8,2659.84,2675.68,2641.34,2639.25,1732019.88,7783.13,7871.17,7752.04,7745.39,226640512
20181108,81.4124,81.8336,80.2538,80.4645,111131.72,2660.09,2662.37,2635.63,2632.3,1596354.88,7813.63,7823.6,7698.02,7692.34,209202176
20181109,80.4645,83.6241,80.3592,82.1496,172772.94,2621.24,2621.24,2598.87,2598.16,1524463.12,7650.17,7705.26,7648.55,7626.17,193795520
20181112,82.1496,84.4666,81.623,84.4666,114011.51,2593.2,2631.17,2630.52,2590.21,1750313.12,7634.82,7832.82,7832.29,7622.47,249652880
20181113,83.2028,89.6273,83.2028,88.5741,182751.56,2600.5,2666.49,2654.88,2597.35,2492824.5,7733.11,8008.11,7963.66,7718.68,353815392
20181115,88.3635,88.6794,84.3613,87.8369,205960.05,2632.14,2668.17,2668.17,2631.89,2078487.25,7889.92,8002.1,8002.1,7884.34,281944320
20181116,87.7316,92.471,87.205,90.9965,240028.81,2669.78,2695.57,2679.11,2657.03,2421988.5,8003.47,8116.73,8062.29,7959.14,317727584
20181119,90.4699,91.2071,88.3635,89.838,119163.91,2681.9,2703.51,2703.51,2674.18,2316628.25,8050.55,8108.85,8108.85,8014.57,295374976
20181120,88.9954,92.155,86.889,87.9422,157993.08,2684.29,2690.83,2645.85,2643.36,2158913,8031.36,8054.24,7879.52,7870.41,285221216
20181121,86.573,88.9954,86.3624,87.8369,101635.08,2619.82,2653.8,2651.51,2617.78,1825964.5,7786.78,7919.07,7908.47,7776.56,241088352
20181122,88.0475,88.5741,86.573,86.573,71812.04,2655.9,2658,2645.43,2634.48,1493090.62,7929.79,7950.97,7893.99,7857.81,224810816
20181123,86.573,87.4156,83.5188,83.6241,119271.23,2640.67,2642.04,2579.48,2577.35,1914745.5,7882.85,7889.13,7636.7,7616.47,263332912
